id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1,IPL-2008,Bangalore,18-04-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Kolkata Knight Riders,140.0,0.0,BB McCullum,M Chinnaswamy Stadium,,,
2,IPL-2008,Chandigarh,19-04-2008,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,normal,1,Chennai Super Kings,33.0,0.0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",,,
3,IPL-2008,Delhi,19-04-2008,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,normal,1,Delhi Capitals,0.0,9.0,MF Maharoof,Feroz Shah Kotla,,,
4,IPL-2008,Mumbai,20-04-2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,1,Royal Challengers Bangalore,0.0,5.0,MV Boucher,Wankhede Stadium,,,
5,IPL-2008,Kolkata,20-04-2008,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,1,Kolkata Knight Riders,0.0,5.0,DJ Hussey,Eden Gardens,,,
6,IPL-2008,Jaipur,21-04-2008,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,normal,1,Rajasthan Royals,0.0,6.0,SR Watson,Sawai Mansingh Stadium,,,
7,IPL-2008,Hyderabad,22-04-2008,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,normal,1,Delhi Capitals,0.0,9.0,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",,,
8,IPL-2008,Chennai,23-04-2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,1,Chennai Super Kings,6.0,0.0,ML Hayden,"MA Chidambaram Stadium, Chepauk",,,
9,IPL-2008,Hyderabad,24-04-2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,1,Rajasthan Royals,0.0,3.0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",,,
10,IPL-2008,Chandigarh,25-04-2008,Punjab Kings,Mumbai Indians,Mumbai Indians,field,normal,1,Punjab Kings,66.0,0.0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",,,
11,IPL-2008,Bangalore,26-04-2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,1,Rajasthan Royals,0.0,7.0,SR Watson,M Chinnaswamy Stadium,,,
